CategoryNameDropstab,CategoryNameCoingecko
"RWA (Real World Assets)","Real World Assets (RWA)"
"Liquid Staking","Liquid Restaking Tokens"
"Liquid Staking","Liquid Staking Tokens"
"Liquid Staking","Liquid Staking Governance Tokens"
"Liquid Staking","Liquid Restaking Governance Tokens"
