Coingecko name,Coingecko symbol,Dropstab name,Dropstab symbol
IOTA,MIOTA,IOTA,IOTA
BNB,BNB,Binance Coin,BNB
NEAR Protocol,NEAR,Near,NEAR
Cronos,CRO,Crypto.com Coin,CRO
Cosmos Hub,ATOM,Cosmos,ATOM
OEC Token,OKT,OKC Token,OKT
SXP,SXP,Swipe,SXP
Injective,INJ,Injective Protocol,INJ
Clover Finance,CLV,CLV,CLV
Phoenix Global [OLD],PHB,Phoenix Global,PHB
pSTAKE Finance,PSTAKE,pSTAKE,PSTAKE
NewYorkCityCoin,NYC,NYCCoin,NYC
Energy Web Token,EWT,Energy Web Token,EW
